sitetype,lat,lon,zip,plus4
Lodging,47.6139009,-122.33283229,98101,1824
Lodging,47.61378803,-122.33338002,98101,1800
Lodging,47.6145258,-122.333941,98101,1311
Lodging,47.61798351,-122.33974191,98121,1906
Lodging,47.61483395,-122.34060223,98121,2511
Lodging,47.61375462,-122.34053719,98121,2515
Lodging,47.61423196,-122.33663696,98101,1212
Lodging,47.61357933,-122.33841365,98101,1281
Lodging,47.61308408,-122.33358256,98101,1843
Lodging,47.61220115,-122.33798887,98101,1108
Lodging,47.76265882,-122.20824112,98011,1928
Lodging,47.76725552,-122.15526032,98072,
Lodging,47.42577737,-122.29697328,98188,5404
Lodging,47.42924461,-122.29730999,98188,5121
Lodging,47.4264093,-122.29679092,98188,5404
Lodging,47.42613969,-122.2951335,98188,5403
Lodging,47.42812464,-122.29697192,98188,5390
Lodging,47.43022778,-122.29609936,98188,5302
Lodging,47.42910835,-122.29631033,98188,5305
Lodging,47.33033161,-122.04212193,98010,1286
Lodging,47.33083435,-122.04200091,98010,1286
Lodging,47.33472024,-122.31272401,98003,4233
Lodging,47.41614306,-122.28853884,98198,4817
Lodging,47.69914248,-122.34490967,98103,3220
Lodging,47.69807058,-122.34512615,98103,3218
Lodging,47.61887049,-122.34477983,98109,5002
Lodging,47.44162036,-121.42167025,98045,
Lodging,47.49058637,-122.26157714,98178,3510
Lodging,47.75522694,-122.2310637,98028,1825
Lodging,47.47190016,-122.28441148,98168,4353
Lodging,47.47298026,-122.28385612,98168,4325
Lodging,47.19824052,-121.96249183,98022,9237
Lodging,47.37682274,-122.24218455,98032,6029
Lodging,47.46025002,-122.24597031,98188,
Lodging,47.46034812,-122.24374741,98188,
Lodging,47.46196127,-122.24623052,98188,
Lodging,47.45774649,-122.24555244,98188,
Lodging,47.45914721,-122.2435491,98188,
Lodging,47.461267,-122.24634586,98188,
Lodging,47.48580525,-122.26923143,98168,3304
Lodging,47.32371294,-122.23141031,98001,1613
Lodging,47.32356293,-122.22966464,98002,1624
Lodging,47.32053847,-122.23093421,98001,4000
Lodging,47.32032228,-122.22837922,98002,1606
Lodging,47.32188532,-122.22522054,98002,1605
Gate_w/o_Building,47.46578783,-121.78062092,98045,9042
Gate_w/o_Building,47.69972275,-121.86758277,98014,
Gate_w/o_Building,47.69982583,-121.86771771,98014,
Gate_w/o_Building,47.76370336,-121.92464506,98019,7747
Gate_w/o_Building,47.64996212,-121.89658646,98014,6330
Gated_w/_Building,47.63756278,-121.91405734,98014,6106
Gated_w/_Building,47.77073978,-122.31134271,98155,2339
Gated_w/_Building,47.75751612,-122.29462745,98155,4024
Gated_w/_Building,47.68739396,-121.8864255,98014,6885
Gated_w/_Building,47.61417272,-121.90676166,98014,5705
Gated_w/_Building,47.60475125,-121.90370606,98014,5702
Gated_w/_Building,47.69274629,-121.92333948,98014,9044
Gated_w/_Building,47.61517104,-121.90838,98014,5705
Gated_w/_Building,47.43251194,-122.20586449,98055,6312
Gated_w/_Building,47.62205672,-121.95043429,98014,9664
Gated_w/_Building,47.70378276,-121.94500047,98014,9038
Gated_w/_Building,47.45039986,-122.07743348,98058,0718
Gated_w/_Building,47.62243979,-121.91055727,98014,
Gated_w/_Building,47.4539822,-122.16013832,98058,
Gated_w/_Building,47.6336133,-121.90671981,98014,6115
Gated_w/_Building,47.47435703,-122.13325667,98059,7415
Gated_w/_Building,47.39823243,-122.10306193,98042,7212
